Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
things to do in new york,3,3,40500,28,0.23,https://theworldtravelguy.com/nyc-things-to-do/,2632,6.45,605.00,0.94,2650000000,"[66,54,66,54,66,66,66,54,44,44,44,36]",2026-04-08,"Sitelinks, Video, Image, Related searches, AI overview",informational,Organic
things to do in nyc,3,3,40500,35,0.54,https://theworldtravelguy.com/nyc-things-to-do/,2632,6.45,1421.00,1,143,"[44,44,54,44,44,54,66,54,36,44,36,54]",2026-04-09,"Sitelinks, Video, Related searches, Short videos, AI overview",informational,Organic
things to do in new york city,2,2,14800,34,0.49,https://theworldtravelguy.com/nyc-things-to-do/,1213,2.97,594.00,0.94,1840000000,"[66,66,66,54,100,81,81,81,54,66,81,81]",2026-04-11,"Sitelinks, Video, Image, Related searches, Short videos, Discussions and forums, AI overview",informational,Organic
fun things to do in nyc,2,2,12100,28,0.60,https://theworldtravelguy.com/nyc-things-to-do/,992,2.43,595.00,1,795000000,"[66,44,66,54,54,54,66,66,54,81,66,54]",2026-04-07,"Sitelinks, Video, Image, Related searches, Short videos, AI overview",informational,Organic
travel and blog,1,1,3600,57,1.65,https://theworldtravelguy.com/,892,2.18,1471.00,0.08,160,"[3,81,100,100,43,54,0,4,54,81,66,36]",2026-04-12,"Sitelinks, Video, Image, Related searches, Discussions and forums",commercial,Organic
things to to do in nyc,2,2,6600,35,0.49,https://theworldtravelguy.com/nyc-things-to-do/,541,1.32,265.00,0.94,739000000,"[0,36,66,66,54,66,44,100,44,36,66,29]",2026-04-11,"Sitelinks, Video, Image, Related searches, Discussions and forums, AI overview",informational,Organic
what to do in new york,3,3,8100,26,0.47,https://theworldtravelguy.com/nyc-things-to-do/,526,1.28,247.00,0.92,3160000000,"[66,44,81,100,100,66,81,66,66,54,54,54]",2026-04-06,"Sitelinks, Video, Image, Related searches, AI overview",informational,Organic
what things to do in new york city,3,3,8100,22,0.47,https://theworldtravelguy.com/nyc-things-to-do/,526,1.28,247.00,0.92,2020000000,"[0,0,3,100,66,81,0,7,44,66,66,54]",2026-04-08,"Sitelinks, Video, Image, Related searches, Short videos, Discussions and forums, AI overview",informational,Organic
japanese temple,3,3,8100,25,0.34,https://theworldtravelguy.com/best-japanese-temples/,526,1.28,178.00,0,520000000,"[66,54,44,81,66,54,44,54,66,66,54,54]",2026-04-06,"Image pack, Video, Image, Video Carousel, Related searches, Things to know, AI overview",informational,Organic
tickets in manhattan,1,0,14800,57,0.87,https://theworldtravelguy.com/what-to-book-in-advance-nyc/,478,1.17,415.00,0.46,124000000,"[0,66,100,81,81,44,0,5,36,54,66,81]",2026-04-13,"Sitelinks, Video, Image, People also ask, Related searches, AI overview",informational,AI overview
travel blog,1,0,3600,52,1.65,https://theworldtravelguy.com/,475,1.16,783.00,0.08,1610000000,"[5,5,7,5,7,7,7,5,8,7,8,8]",2026-04-12,"Sitelinks, Video, Image, Related searches, Discussions and forums, AI overview","commercial, informational",Organic
things to see in new york,2,2,5400,34,0.49,https://theworldtravelguy.com/nyc-things-to-do/,442,1.08,216.00,0.94,145,"[66,44,36,81,54,44,100,81,54,29,29,29]",2026-04-07,"Sitelinks, Video, Image, Related searches, AI overview",informational,Organic
things to see in nyc,2,2,5400,34,0.49,https://theworldtravelguy.com/nyc-things-to-do/,442,1.08,216.00,0.94,738000000,"[29,36,54,44,36,19,24,29,44,29,81,54]",2026-04-11,"Sitelinks, Video, Image, Related searches, Short videos, AI overview",informational,Organic
new york things to do,3,3,6600,36,0.54,https://theworldtravelguy.com/nyc-things-to-do/,429,1.05,231.00,0.95,2750000000,"[29,24,29,24,36,29,36,36,29,29,29,24]",2026-04-12,"Sitelinks, Video, Image, Related searches, Discussions and forums, AI overview",informational,Organic
what do new yorkers do in new york,2,2,6600,31,0.47,https://theworldtravelguy.com/nyc-things-to-do/,429,1.05,201.00,0.92,54100000,"[1,54,100,100,66,81,0,7,44,0,0,0]",2026-04-10,"Sitelinks, Video, Related searches, AI overview",informational,Organic
angels landing deaths,2,2,4400,28,0.00,https://theworldtravelguy.com/angels-landing-deaths-list/,360,0.88,0.00,0.01,12100000,"[19,24,54,54,54,44,54,66,44,44,29,29]",2026-04-08,"Sitelinks, Video, Image, Video Carousel, Related searches, Things to know, AI overview",informational,Organic
what to do in nyc,4,4,8100,27,0.48,https://theworldtravelguy.com/nyc-things-to-do/,356,0.87,170.00,0.95,1170000000,"[54,44,54,54,54,54,66,54,44,44,36,36]",2026-04-08,"Sitelinks, Video, Image, Related searches, Short videos, AI overview",informational,Organic
new places to visit in nyc,3,3,5400,38,0.47,https://theworldtravelguy.com/nyc-things-to-do/,351,0.86,164.00,0.73,165,"[0,44,13,100,0,0,0,1,29,0,1,1]",2026-04-09,"Sitelinks, Video, Image, Related searches, Discussions and forums, AI overview",informational,Organic
activities to do in nyc,3,0,5400,34,0.49,https://theworldtravelguy.com/nyc-things-to-do/,351,0.86,171.00,0.94,354000000,"[66,44,66,12,12,3,36,66,10,36,54,44]",2026-04-12,"Sitelinks, Video, Image, Video Carousel, Related searches, Discussions and forums, AI overview",informational,Organic
what do nyc,2,2,3600,39,0.47,https://theworldtravelguy.com/nyc-things-to-do/,295,0.72,138.00,0.92,761000000,"[0,0,0,0,0,0,0,10,66,100,100,81]",2026-04-06,"Video, Related searches, AI overview",informational,Organic
things to do on new york city,2,2,3600,45,0.49,https://theworldtravelguy.com/nyc-things-to-do/,295,0.72,144.00,0.94,2050000000,"[23,19,29,29,44,29,23,36,23,23,19,19]",2026-04-08,"Image pack, Sitelinks, Video, Image, Related searches, Discussions and forums, AI overview",informational,Organic
things to do in ny,3,3,4400,26,0.57,https://theworldtravelguy.com/nyc-things-to-do/,286,0.7,163.00,0.94,1830000000,"[36,29,36,36,44,44,44,54,29,44,54,44]",2026-04-08,"Sitelinks, Video, Image, Related searches, AI overview",informational,Organic
fun things to do in new york,3,3,4400,26,0.39,https://theworldtravelguy.com/nyc-things-to-do/,286,0.7,111.00,0.87,1290000000,"[54,44,54,54,66,54,54,44,44,54,35,44]",2026-04-10,"Sitelinks, Video, Image, Related searches, Discussions and forums, AI overview",informational,Organic
slot canyon arizona,1,1,1000,61,0.52,https://theworldtravelguy.com/arizona-slot-canyons/,248,0.6,128.00,0,143,"[19,10,15,19,19,13,15,15,19,19,13,15]",2026-03-29,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, Related searches, Short videos, Things to know, AI overview",informational,Knowledge panel
travel,16,16,165000,100,1.16,https://theworldtravelguy.com/,247,0.6,286.00,0.08,6300000000,"[44,16,20,16,20,24,16,16,16,16,29,24]",2026-04-08,"Video, Image, Video Carousel, People also ask, Related searches, Things to know",informational,Organic
new york fun stuff,4,4,5400,36,0.60,https://theworldtravelguy.com/nyc-things-to-do/,237,0.58,142.00,1,170,"[1,0,24,10,81,81,0,8,66,100,0,2]",2026-04-07,"Sitelinks, Video, Image, Related searches, AI overview",informational,Organic
travel blogs,2,2,2900,50,1.65,https://theworldtravelguy.com/,237,0.58,391.00,0.08,154,"[29,13,16,16,16,13,10,10,13,13,8,10]",2026-04-12,"Sitelinks, Video, Ads bottom, Related searches, AI overview","commercial, informational",Organic
travel the world,1,1,2900,42,2.28,https://theworldtravelguy.com/,237,0.58,540.00,0.12,127,"[29,19,24,36,44,16,16,54,54,36,24,29]",2026-04-07,"Image pack, Video, Video Carousel, Related searches, Things to know, AI overview",informational,Organic
travelling web,3,3,3600,71,1.12,https://theworldtravelguy.com/,234,0.57,262.00,0.69,125,"[2,0,100,100,100,100,0,0,0,0,0,0]",2026-04-10,"Image pack, Sitelinks, Video, Related searches, AI overview","commercial, informational",Organic
new york activities,4,4,3600,39,0.79,https://theworldtravelguy.com/nyc-things-to-do/,234,0.57,184.00,0.99,1050000000,"[29,29,54,29,35,23,44,23,35,35,81,81]",2026-04-12,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
fun things to do nyc,3,3,3600,27,0.60,https://theworldtravelguy.com/nyc-things-to-do/,234,0.57,140.00,1,449000000,"[36,29,36,29,23,36,44,29,23,19,29,23]",2026-04-08,"Sitelinks, Video, Image, Related searches, Discussions and forums, AI overview",informational,Organic
what to do in new york city,3,3,3600,39,0.47,https://theworldtravelguy.com/nyc-things-to-do/,234,0.57,109.00,0.92,3110000000,"[29,23,44,44,66,44,66,29,44,44,35,29]",2026-04-10,"Sitelinks, Video, Image, Ads bottom, Related searches, AI overview",informational,Organic
stuff to do in nyc,3,4,2400,28,0.54,https://theworldtravelguy.com/nyc-things-to-do/,196,0.48,105.00,1,471000000,"[44,16,16,29,19,36,66,13,10,7,24,13]",2026-04-12,"Sitelinks, Video, Image, Related searches, Discussions and forums",informational,Organic
pillbox hike oahu,2,2,2400,32,1.13,https://theworldtravelguy.com/oahu-pillbox-hikes/,196,0.48,221.00,0.32,181000,"[65,43,65,100,54,54,43,29,20,29,29,54]",2026-04-06,"Local pack, Video, Image, Related searches",commercial,Organic
things to do in manhattan,7,7,8100,23,0.35,https://theworldtravelguy.com/nyc-things-to-do/,194,0.47,67.00,0.99,317000000,"[66,36,81,54,44,54,66,100,66,66,54,54]",2026-04-08,"Sitelinks, Video, Image, Related searches, AI overview",informational,Organic
ny best things to do,4,4,4400,30,0.48,https://theworldtravelguy.com/nyc-things-to-do/,193,0.47,92.00,1,2750000000,"[2,23,100,81,81,81,0,7,19,19,19,19]",2026-04-06,"Sitelinks, Video, Image, Video Carousel, Related searches, Discussions and forums, AI overview",commercial,Organic
best things to do in new york,4,4,4400,40,0.48,https://theworldtravelguy.com/nyc-things-to-do/,193,0.47,92.00,1,2150000000,"[44,35,100,81,66,81,81,44,35,44,23,29]",2026-04-11,"Sitelinks, Video, Image, Related searches, Short videos, AI overview","commercial, informational",Organic
where is bali,11,11,27100,45,0.18,https://theworldtravelguy.com/destinations/bali-travel-guide/,189,0.46,34.00,0,127,"[44,36,54,44,44,44,44,44,36,36,36,44]",2026-04-11,"Image pack, Video, Image, Related searches, AI overview",informational,Organic
best things to do in nyc,5,4,5400,41,0.39,https://theworldtravelguy.com/nyc-things-to-do/,189,0.46,73.00,1,718000000,"[54,44,81,81,66,81,81,54,36,44,36,44]",2026-04-12,"Sitelinks, Video, Image, Related searches, AI overview",commercial,Organic
what to do when in new york city,3,3,2900,37,0.48,https://theworldtravelguy.com/nyc-things-to-do/,188,0.46,90.00,0.95,3120000000,"[2,66,0,100,0,0,1,5,44,66,54,54]",2026-04-09,"Sitelinks, Video, Image, Related searches, Short videos, AI overview",informational,Organic
things to do new york,3,3,2900,40,0.57,https://theworldtravelguy.com/nyc-things-to-do/,188,0.46,107.00,1,2460000000,"[36,28,36,54,43,43,54,43,36,100,43,28]",2026-04-11,"Sitelinks, Video, Image, Related searches, Short videos, AI overview",informational,Organic
things to do with new york,3,3,2900,45,0.54,https://theworldtravelguy.com/nyc-things-to-do/,188,0.46,101.00,1,155,"[36,43,65,81,81,81,81,65,65,81,65,81]",2026-04-06,"Sitelinks, Video, Image, Video Carousel, Related searches, AI overview",informational,Organic
top 10 things to do in new york,3,3,2900,35,0.54,https://theworldtravelguy.com/nyc-things-to-do/,188,0.46,101.00,0.89,145,"[36,29,36,36,36,29,24,24,24,19,24,24]",2026-04-10,"Sitelinks, Video, Related searches, AI overview",informational,Organic
stuff to do in new york,3,3,2900,26,0.54,https://theworldtravelguy.com/nyc-things-to-do/,188,0.46,101.00,1,1200000000,"[5,54,5,5,5,7,24,10,4,5,3,13]",2026-04-11,"Sitelinks, Video, Image, Video Carousel, Related searches, Short videos, AI overview",informational,Organic
komodo island indonesia,1,1,2900,33,0.74,https://theworldtravelguy.com/komodo-islands-indonesia/,176,0.43,130.00,0.02,5230000,"[44,15,15,13,29,44,23,15,15,29,19,23]",2026-04-06,"Knowledge panel, Video, Image, Video Carousel, Related searches, Things to know, AI overview",informational,AI overview
antelope canyon x,2,2,6600,42,1.22,https://theworldtravelguy.com/antelope-canyon-x/,171,0.41,208.00,0.28,4130000,"[54,36,81,100,54,66,66,66,81,100,81,54]",2026-04-11,"Knowledge panel, Sitelinks, Video, Image, Related searches, Short videos",navigational,Organic
half dome deaths,1,1,1300,34,0.00,https://theworldtravelguy.com/half-dome-deaths/,171,0.41,0.00,0,4760000,"[3,3,3,3,4,7,7,7,13,8,8,4]",2026-03-01,"Sitelinks, Video, Image, People also ask, Related searches, Things to know, AI overview",informational,Organic
fun stuff in new york,2,2,1300,30,0.60,https://theworldtravelguy.com/nyc-things-to-do/,171,0.41,102.00,1,724000000,"[1,0,0,0,13,3,0,13,100,8,3,3]",2026-03-31,"Sitelinks, Video, Image, Related searches, Short videos",commercial,Organic
new york city things to do,6,6,5400,35,0.54,https://theworldtravelguy.com/nyc-things-to-do/,162,0.39,87.00,0.95,1960000000,"[54,66,81,81,81,66,100,54,100,81,66,66]",2026-04-06,"Sitelinks, Video, Image, Related searches, Discussions and forums, AI overview",informational,Organic
top things to do in nyc,4,4,3600,37,0.48,https://theworldtravelguy.com/nyc-things-to-do/,158,0.38,75.00,0.99,127,"[36,29,36,23,29,19,36,29,19,36,23,10]",2026-04-11,"Sitelinks, Video, Image, Related searches, AI overview",informational,Organic
things to do in manhattan new york,3,3,3600,35,0.35,https://theworldtravelguy.com/nyc-things-to-do/,158,0.38,55.00,0.99,294000000,"[54,10,16,44,100,54,29,19,24,66,13,19]",2026-04-11,"Sitelinks, Video, Image, Related searches, AI overview",informational,Organic
top activities in nyc,3,6,1900,27,0.48,https://theworldtravelguy.com/nyc-things-to-do/,155,0.37,74.00,0.99,164,"[3,3,0,100,43,54,3,5,24,81,0,0]",2026-04-12,"Sitelinks, Video, Image, Related searches",commercial,Organic
fun things in nyc to do,2,2,1900,20,0.81,https://theworldtravelguy.com/nyc-things-to-do/,155,0.37,125.00,1,453000000,"[3,52,100,100,66,66,1,24,66,66,80,66]",2026-04-08,"Sitelinks, Video, Image, Video Carousel, Related searches, Discussions and forums, AI overview",informational,Organic
nyc things to do,4,4,5400,29,0.57,https://theworldtravelguy.com/nyc-things-to-do/,129,0.31,73.00,1,824000000,"[24,16,24,24,24,24,29,24,19,24,29,29]",2026-04-06,"Top stories, Sitelinks, Video, Image, Related searches",commercial,Organic
pillbox hike,4,4,2900,37,1.13,https://theworldtravelguy.com/oahu-pillbox-hikes/,127,0.31,143.00,0.32,404000,"[16,10,13,8,19,13,19,13,10,8,8,13]",2026-04-10,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Organic
slot canyon utah,4,4,2900,62,0.33,https://theworldtravelguy.com/best-slot-canyons-in-utah/,127,0.31,41.00,0,124,"[29,29,36,24,36,24,29,24,24,29,24,19]",2026-04-09,"Local pack, Image pack, Sitelinks, Video, Image, Related searches",commercial,Organic
new york must see,3,3,1900,26,0.45,https://theworldtravelguy.com/nyc-things-to-do/,123,0.3,55.00,0.98,1910000000,"[24,44,27,80,66,100,36,52,24,80,80,52]",2026-04-12,"Sitelinks, Video, Image, Related searches, AI overview",informational,Organic
